Nome           ,Imputação VF        ,Tratamento Outliers ,Normalização ,Classificação ,Acurácia ,Precisão ,Revocação ,F1-Score
Koklu KNN      ,None                ,None                ,Min-Max      ,KNN           ,"88,36%" ,"91,34%" ,"89,94%"  ,"89,66%"
Koklu MLP      ,None                ,None                ,Min-Max      ,MLP           ,"86,79%" ,"89,59%" ,"87,86%"  ,"87,57%"
Experimento 1  ,KNN - I             ,3Sigma              ,Min-Max      ,KNN           ,"90,21%" ,"93,24%" ,"91,78%"  ,"91,66%"
Experimento 2  ,KNN - I             ,3Sigma              ,Min-Max      ,MLP           ,"88,28%" ,"91,37%" ,"89,53%"  ,"89,29%"
Experimento 3  ,KNN - I             ,3Sigma              ,Z-Score      ,KNN           ,"90,01%" ,"92,97%" ,"91,60%"  ,"91,44%"
Experimento 4  ,KNN - I             ,3Sigma              ,Z-Score      ,MLP           ,"87,90%" ,"90,96%" ,"89,74%"  ,"89,27%"
Experimento 5  ,KNN - I             ,MAD                 ,Min-Max      ,KNN           ,"91,60%" ,"94,55%" ,"93,21%"  ,"93,04%"
Experimento 6  ,KNN - I             ,MAD                 ,Min-Max      ,MLP           ,"87,25%" ,"89,70%" ,"88,95%"  ,"87,77%"
Experimento 7  ,KNN - I             ,MAD                 ,Z-Score      ,KNN           ,"91,49%" ,"94,31%" ,"93,01%"  ,"92,85%"
Experimento 8  ,KNN - I             ,MAD                 ,Z-Score      ,MLP           ,"87,46%" ,"91,50%" ,"90,28%"  ,"89,11%"
Experimento 9  ,Interpolação Linear ,3Sigma              ,Min-Max      ,KNN           ,"91,04%" ,"93,81%" ,"92,60%"  ,"92,40%"
Experimento 10 ,Interpolação Linear ,3Sigma              ,Min-Max      ,MLP           ,"85,41%" ,"89,11%" ,"86,65%"  ,"85,92%"
Experimento 11 ,Interpolação Linear ,3Sigma              ,Z-Score      ,KNN           ,"90,73%" ,"93,59%" ,"92,27%"  ,"92,10%"
Experimento 12 ,Interpolação Linear ,3Sigma              ,Z-Score      ,MLP           ,"88,28%" ,"90,75%" ,"89,57%"  ,"88,91%"
Experimento 13 ,Interpolação Linear ,MAD                 ,Min-Max      ,KNN           ,"91,97%" ,"94,69%" ,"93,59%"  ,"93,34%"
Experimento 14 ,Interpolação Linear ,MAD                 ,Min-Max      ,MLP           ,"86,17%" ,"90,38%" ,"87,43%"  ,"86,11%"
Experimento 15 ,Interpolação Linear ,MAD                 ,Z-Score      ,KNN           ,"91,74%" ,"94,47%" ,"93,37%"  ,"93,12%"
Experimento 16 ,Interpolação Linear ,MAD                 ,Z-Score      ,MLP           ,"90,32%" ,"93,14%" ,"92,13%"  ,"91,45%"
15 - Sem VF    ,None                ,MAD                 ,Z-Score      ,KNN           ,"91,60%" ,"94,39%" ,"93,21%"  ,"92,97%"
16 - Sem VF    ,None                ,MAD                 ,Z-Score      ,MLP           ,"88,93%" ,"91,96%" ,"90,52%"  ,"90,13%"